epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,6133.82,1.51266,2.09296,1.08098,1.11471,0.01872,0.18519,0.00828,0.00377,0.01807,0.16667,0.00765,0.00212,2.15211,7.42782,131.257,2.75396,0.001703,0.001703,0.001703
32,6328.67,1.27705,1.8444,0.79931,1.02991,0.05533,0.09259,0.01576,0.00577,0.03931,0.07407,0.01027,0.00295,2.7177,5.12926,9.94991,2.82307,0.0016931,0.0016931,0.0016931
33,6521.02,1.28005,1.87594,0.80188,1.05077,0.07812,0.11111,0.02875,0.01414,0.10417,0.11111,0.0295,0.00599,2.18735,5.4723,9.23032,2.61226,0.0016832,0.0016832,0.0016832
34,6735.06,1.16598,1.67903,0.76004,1.00548,0.2496,0.11111,0.08058,0.03366,0.33881,0.14815,0.11698,0.02606,2.81594,5.09911,5.27004,2.88462,0.0016733,0.0016733,0.0016733
35,6946.42,1.17928,1.79964,0.73801,0.99427,0.32259,0.18519,0.12395,0.04506,0.26224,0.2037,0.13401,0.02816,2.4474,3.70098,3.66422,2.3669,0.0016634,0.0016634,0.0016634
36,7156.15,1.19391,1.78679,0.78609,1.03514,0.56557,0.31481,0.29833,0.12985,0.36594,0.24074,0.19265,0.0408,2.32481,3.52272,1.94638,2.01991,0.0016535,0.0016535,0.0016535
37,7360.49,1.16741,1.68178,0.77554,1.03657,0.48739,0.25926,0.26744,0.12847,0.56307,0.22222,0.26338,0.05809,2.41318,3.34903,2.1153,1.88514,0.0016436,0.0016436,0.0016436
38,7580.07,1.10958,1.78813,0.71358,0.99478,0.48412,0.31287,0.272,0.11078,0.40398,0.25926,0.22901,0.04827,2.42051,3.18782,3.48979,1.85215,0.0016337,0.0016337,0.0016337
39,7778.03,1.20202,1.78842,0.79764,1.06259,0.38238,0.37037,0.28727,0.11064,0.45793,0.33333,0.32284,0.06668,2.40157,3.40742,2.7964,1.89621,0.0016238,0.0016238,0.0016238
40,7995.89,1.13316,1.67666,0.68671,0.97172,0.30878,0.38889,0.25249,0.09391,0.37529,0.2963,0.26901,0.06704,2.47917,3.25086,2.55986,1.80427,0.0016139,0.0016139,0.0016139
41,8188.05,1.06703,1.57115,0.64591,0.9837,0.41123,0.28467,0.27488,0.12411,0.3014,0.31481,0.23654,0.06081,2.44145,3.35202,1.89972,1.8931,0.001604,0.001604,0.001604
42,8388.72,1.15244,1.76174,0.73721,1.04136,0.36721,0.35185,0.28282,0.12223,0.65303,0.2037,0.21309,0.0483,2.42925,4.2809,1.6069,2.13294,0.0015941,0.0015941,0.0015941
43,8598.65,1.15289,1.82325,0.75984,1.01923,0.30605,0.44106,0.27959,0.11954,0.44793,0.37571,0.33529,0.09368,2.33927,3.54037,2.30941,1.9544,0.0015842,0.0015842,0.0015842
44,8800.8,1.04523,1.61295,0.68583,0.96685,0.36193,0.57407,0.358,0.14721,0.40159,0.31481,0.30433,0.09545,2.05143,3.39089,2.28951,1.67036,0.0015743,0.0015743,0.0015743
45,8999.81,1.02802,1.58675,0.64689,0.99852,0.47165,0.38032,0.35838,0.14233,0.42101,0.37037,0.33556,0.09456,2.09095,3.30962,2.36828,1.73389,0.0015644,0.0015644,0.0015644
46,9196.72,0.98559,1.56489,0.61376,0.94858,0.48549,0.35185,0.27868,0.12814,0.43778,0.31481,0.27724,0.09368,2.09551,3.44945,2.63109,1.78044,0.0015545,0.0015545,0.0015545
47,9406.62,1.09079,1.70393,0.63196,0.96929,0.33717,0.25926,0.19076,0.07367,0.33757,0.24074,0.18541,0.04415,2.43404,3.5913,2.7135,1.97348,0.0015446,0.0015446,0.0015446
48,9601.33,1.11865,1.69137,0.67773,0.99518,0.48603,0.33275,0.24524,0.10512,0.45371,0.29232,0.22097,0.05279,2.23016,3.40155,3.14044,1.79402,0.0015347,0.0015347,0.0015347
49,9796.73,1.16479,1.70868,0.67276,0.96927,0.51611,0.2963,0.30625,0.15792,0.5038,0.30094,0.31228,0.09638,2.02034,3.0796,2.85304,1.67339,0.0015248,0.0015248,0.0015248
50,9992.16,1.09083,1.6487,0.64998,0.97286,0.5759,0.2963,0.331,0.16995,0.51119,0.33333,0.34444,0.11646,2.05069,3.24828,2.57385,1.62356,0.0015149,0.0015149,0.0015149
51,10195.5,1.07768,1.62137,0.69566,0.98753,0.58142,0.33443,0.37615,0.17159,0.58673,0.36813,0.37331,0.10384,2.10416,3.40613,2.6223,1.66643,0.001505,0.001505,0.001505
52,10377.6,1.00824,1.51435,0.63386,0.97648,0.56727,0.35185,0.36123,0.1654,0.59713,0.37037,0.35985,0.09624,2.04623,3.40607,2.74162,1.5789,0.0014951,0.0014951,0.0014951
53,10587,1.06975,1.55307,0.62008,0.9591,0.52546,0.37037,0.35679,0.15126,0.50986,0.40741,0.3677,0.10049,2.082,3.68545,2.04883,1.67707,0.0014852,0.0014852,0.0014852
54,10790.4,0.97665,1.46746,0.6044,0.96328,0.45254,0.37037,0.32894,0.15024,0.43432,0.35553,0.33731,0.09823,2.07375,3.78234,1.91333,1.7326,0.0014753,0.0014753,0.0014753
55,10978,0.94916,1.62649,0.60619,0.92883,0.45371,0.2963,0.26875,0.11395,0.47958,0.35185,0.27492,0.06981,2.21375,3.6661,2.46815,1.88164,0.0014654,0.0014654,0.0014654
56,11195.5,0.98746,1.56011,0.57872,0.95305,0.29892,0.27778,0.20061,0.0836,0.31708,0.35185,0.24332,0.06988,2.16433,3.5201,3.23745,1.7822,0.0014555,0.0014555,0.0014555
